English Name	Scientific Name	Label	Family	Diet	Stratum	Habitat	Lowland/Highland	Vagrant or Introduced	Widespread?	Barcoded?	Sampled E and W?	Number of BINs
Panama Flycatcher	Myiarchus panamensis	PaFl_Mpa	Tyrannidae	I	C	edge	L	N	Y	Y	0	1
Great Kiskadee	Pitangus sulphuratus	GrKi_Psu	Tyrannidae	I	C	open	L	N	Y	Y	0	1
Rusty-margined Flycatcher	Myiozetetes cayanensis	RMFl_Mca	Tyrannidae	I	C	edge	L	N	N	Y	0	1
Social Flycatcher	Myiozetetes similis	SoFl_Msi	Tyrannidae	I	C	edge	L	N	Y	Y	1	1
Gray-capped Flycatcher	Myiozetetes granadensis	GCFl_Mgr	Tyrannidae	I	M	edge	L	N	Y	Y	0	1
Golden-bellied Flycatcher	Myiodynastes hemichrysus	GBFl_Mhe	Tyrannidae	I	C	forest	H	N	N	Y	0	1
Streaked Flycatcher	Myiodynastes maculatus	StFl_Mma	Tyrannidae	I	C	forest	L	N	Y	Y	0	1
Tropical Kingbird	Tyrannus melancholicus	TrKi_Tme	Tyrannidae	I	C	edge	L	N	Y	Y	1	2
Bran-colored Flycatcher	Myiophobus fasciatus	BCFl_Mfa	Tyrannidae	I	M	forest	L	N	N	Y	0	1
Tufted Flycatcher	Mitrephanes phaeocercus	TuFl_Mph	Tyrannidae	I	M	edge	H	N	Y	Y	0	1
Pied Water-Tyrant	Fluvicola pica	PiWT_Fpi	Tyrannidae	I	U	open	L	N	N	Y	1	1
Northern Scrub-Flycatcher	Sublegatus arenarum	NoSF_Sar	Tyrannidae	I	U	edge	L	N	Y	Y	0	1
Long-tailed Tyrant	Colonia colonus	LTTy_Cco	Tyrannidae	I	C	edge	L	N	Y	Y	1	1
Rufous-browed Peppershrike	Cyclarhis gujanensis	RBPe_Cgu	Vireonidae	I	C	forest	L	N	Y	Y	1	2
Scrub Greenlet	Hylophilus ßavipes	ScGr_Hfl	Vireonidae	I	U	edge	L	N	N	Y	0	1
Tawny-crowned Greenlet	Tunchiornis ochraceiceps	TCGr_Toc	Vireonidae	I	U	forest	L	N	Y	Y	1	1
Lesser Greenlet	Pachysylvia decurtata	LeGr_Pde	Vireonidae	G	C	forest	L	N	Y	Y	1	2
Yellow-winged Vireo	Vireo carmioli	YWVi_Vca	Vireonidae	I	C	forest	H	N	N	Y	0	1
Brown-capped Vireo	Vireo leucophrys	BCVi_Vle	Vireonidae	I	C	forest	H	N	N	Y	0	1
Azure-hooded Jay	Cyanolyca cucullata	AHJa_Ccu	Corvidae	O	C	forest	H	N	N	Y	0	1
Brown Jay	Psilorhinus morio	BrJa_Pmo	Corvidae	O	C	edge	L	N	N	Y	0	1
Black-chested Jay	Cyanocorax afÞnis	BCJa_Caf	Corvidae	O	C	forest	L	N	N	Y	0	1
Gray-breasted Martin	Progne chalybea	GBMa_Pch	Hirundinidae	I	A	open	L	N	Y	Y	1	1
Mangrove Swallow	Tachycineta albilinea	MaSw_Tal	Hirundinidae	I	A	open	L	N	Y	Y	0	1
Southern Rough-winged Swallow	Stelgidopteryx ruÞcollis	SRWS_Sru	Hirundinidae	I	A	open	L	N	Y	Y	1	1
Southern Nightingale-Wren	Microcerculus marginatus	SoNW_Mma	Troglodytidae	I	G	forest	L	N	Y	Y	1	1
House Wren	Troglodytes aedon	HoWr_Tae	Troglodytidae	I	U	open	L	N	Y	Y	1	1
Ochraceous Wren	Troglodytes ochraceus	OcWr_Toc	Troglodytidae	I	M	forest	H	N	Y	Y	0	1
White-headed Wren	Campylorhynchus albobrunneus	WHWr_Cal	Troglodytidae	I	M	forest	L	N	N	Y	1	1
Band-backed Wren	Campylorhynchus zonatus	BBWr_Czo	Troglodytidae	I	C	edge	L	N	N	Y	0	1
Black-throated Wren	Pheugopedius atrogularis	BTWr_Pat	Troglodytidae	I	U	forest	L	N	N	Y	0	1
Rufous-breasted Wren	Pheugopedius rutilus	RBWr_Pru	Troglodytidae	I	M	edge	L	N	Y	Y	1	1
Black-bellied Wren	Pheugopedius fasciatoventris	BBWr_Pfa	Troglodytidae	I	C	edge	L	N	N	Y	1	1
Rufous-and-white Wren	Thryophilus rufalbus	RAWW_Tru	Troglodytidae	I	U	edge	L	N	N	Y	1	1
Stripe-breasted Wren	Cantorchilus thoracicus	SBWr_Cth	Troglodytidae	I	U	edge	L	N	N	Y	0	1
Bay Wren	Cantorchilus nigricapillus	BaWr_Cni	Troglodytidae	I	U	forest	L	N	Y	Y	1	3
Riverside Wren	Cantorchilus semibadius	RiWr_Cse	Troglodytidae	I	U	forest	L	N	N	Y	0	1
Buff-breasted Wren	Cantorchilus leucotis	BBWr_Cle	Troglodytidae	I	U	edge	L	N	N	Y	1	1
White-breasted Wood-Wren	Henicorhina leucosticta	WBWW_Hle	Troglodytidae	I	U	forest	L	N	Y	Y	1	3
Gray-breasted Wood-Wren	Henicorhina leucophrys	GBWW_Hle	Troglodytidae	I	U	forest	H	N	Y	Y	1	2
Song Wren	Cyphorhinus phaeocephalus	SoWr_Cph	Troglodytidae	I	U	forest	L	N	Y	Y	0	1
Tawny-faced Gnatwren	Microbates cinereiventris	TFGn_Mci	Polioptilidae	I	U	forest	L	N	Y	Y	1	2
Long-billed Gnatwren	Ramphocaenus melanurus	LBGn_Rme	Polioptilidae	I	M	forest	L	N	Y	Y	1	1
Tropical Gnatcatcher	Polioptila plumbea	TrGn_Ppl	Polioptilidae	I	C	edge	L	N	Y	Y	1	1
Slate-throated Gnatcatcher	Polioptila schistaceigula	STGn_Psc	Polioptilidae	I	C	forest	L	N	N	Y	0	1
Black-faced Solitaire	Myadestes melanops	BFSo_Mme	Turdidae	F	C	forest	H	N	N	Y	0	1
Varied Solitaire	Myadestes coloratus	VaSo_Mco	Turdidae	F	C	forest	H	N	N	Y	0	1
Black-billed Nightingale-Thrush	Catharus gracilirostris	BBNT_Cgr	Turdidae	I	G	forest	H	N	N	Y	0	1
Orange-billed Nightingale-Thrush	Catharus aurantiirostris	OBNT_Cau	Turdidae	I	G	forest	H	N	N	Y	0	1
Slaty-backed Nightingale-Thrush	Catharus fuscater	SBNT_Cfu	Turdidae	I	U	forest	H	N	Y	Y	1	2
Ruddy-capped Nightingale-Thrush	Catharus frantzii	RCNT_Cfr	Turdidae	I	U	forest	H	N	N	Y	0	1
Mountain Thrush	Turdus plebejus	MoTh_Tpl	Turdidae	O	C	forest	H	N	N	Y	0	1
Pale-vented Thrush	Turdus obsoletus	PVTh_Tob	Turdidae	O	M	forest	H	N	Y	Y	1	1
Clay-colored Thrush	Turdus grayi	CCTh_Tgr	Turdidae	O	G	forest	L	N	Y	Y	1	1
White-throated Thrush	Turdus assimilis	WTTh_Tas	Turdidae	O	U	forest	L	N	Y	Y	1	2
Tropical Mockingbird	Mimus gilvus	TrMo_Mgi	Mimidae	O	U	open	L	I	N	Y	0	1
Black-and-yellow Silky-ßycatcher	Phainoptila melanoxantha	BYSF_Pme	Ptiliogonatidae	F	M	forest	H	N	N	Y	0	1
Golden-browed Chlorophonia	Chlorophonia callophrys	GBCh_Cca	Fringillidae	F	C	forest	H	N	N	Y	0	1
Yellow-crowned Euphonia	Euphonia luteicapilla	YCEu_Elu	Fringillidae	F	C	edge	L	N	Y	Y	0	1
Thick-billed Euphonia	Euphonia laniirostris	TBEu_Ela	Fringillidae	F	C	edge	L	N	Y	Y	1	1
Fulvous-vented Euphonia	Euphonia fulvicrissa	FVEu_Efu	Fringillidae	F	C	forest	L	N	N	Y	0	1
Olive-backed Euphonia	Euphonia gouldi	OBEu_Ego	Fringillidae	F	M	forest	L	N	N	Y	0	1
White-vented Euphonia	Euphonia minuta	WVEu_Emi	Fringillidae	F	C	forest	L	N	Y	Y	0	1
Tawny-capped Euphonia	Euphonia anneae	TCEu_Ean	Fringillidae	F	U	forest	H	N	Y	Y	1	1
Yellow-bellied Siskin	Spinus xanthogastrus	YBSi_Sxa	Fringillidae	G	C	edge	H	N	N	Y	0	1
Rosy Thrush-Tanager	Rhodinocichla rosea	RoTT_Rro	Rhodinocichlidae	I	U	forest	L	N	N	Y	1	1
Yellow-green Finch	Pselliophorus luteoviridis	YGFi_Plu	Passerellidae	O	U	forest	H	N	N	Y	0	1
Orange-billed Sparrow	Arremon aurantiirostris	OBSp_Aau	Passerellidae	G	U	forest	L	N	Y	Y	1	2
Sooty-faced Finch	Arremon crassirostris	SFFi_Acr	Passerellidae	O	U	forest	H	N	Y	Y	0	1
Chestnut-capped BrushÞnch	Arremon brunneinucha	CCBr_Abr	Passerellidae	G	U	forest	H	N	Y	Y	1	2
Black-striped Sparrow	Arremonops conirostris	BSSp_Aco	Passerellidae	O	U	edge	L	N	Y	Y	1	1
White-naped BrushÞnch	Atlapetes albinucha	WNBr_Aal	Passerellidae	O	U	forest	H	N	N	Y	0	1
Rufous-collared Sparrow	Zonotrichia capensis	RCSp_Zca	Passerellidae	G	G	open	H	N	N	Y	0	1
Common Chlorospingus	Chlorospingus ßavopectus	CoCh_Cfl	Passerellidae	O	M	forest	H	N	N	Y	0	1
Tacarcuna Chlorospingus	Chlorospingus tacarcunae	TaCh_Cta	Passerellidae	O	M	forest	H	N	N	Y	0	1
Pirre Chlorospingus	Chlorospingus inornatus	PiCh_Cin	Passerellidae	O	C	forest	H	N	N	Y	0	1
Sooty-capped Chlorospingus	Chlorospingus pileatus	SCCh_Cpi	Passerellidae	O	M	forest	H	N	N	Y	0	1
Yellow-throated Chlorospingus	Chlorospingus ßavigularis	YTCh_Cfl	Passerellidae	O	U	forest	H	N	N	Y	0	1
Wrenthrush	Zeledonia coronata	Wren_Zco	Zeledoniidae	I	G	forest	H	N	N	Y	0	1
Eastern Meadowlark	Sturnella magna	EaMe_Sma	Icteridae	I	G	open	L	N	N	Y	0	1
Red-breasted Meadowlark	Leistes militaris	RBMe_Lmi	Icteridae	I	G	open	L	N	Y	Y	0	1
Yellow-billed Cacique	Amblycercus holosericeus	YBCa_Aho	Icteridae	I	U	edge	L	N	N	Y	1	1
Montezuma Oropendola	Psarocolius montezuma	MoOr_Pmo	Icteridae	O	C	edge	L	N	N	Y	0	1
Scarlet-rumped Cacique	Cacicus uropygialis	SRCa_Cur	Icteridae	O	C	forest	L	N	Y	Y	1	1
Black-cowled Oriole	Icterus prosthemelas	BCOr_Ipr	Icteridae	O	C	edge	L	N	N	Y	0	1
Yellow-backed Oriole	Icterus chrysater	YBOr_Ich	Icteridae	O	C	edge	L	N	Y	Y	0	1
Orange-crowned Oriole	Icterus auricapillus	OCOr_Iau	Icteridae	O	C	edge	L	N	N	Y	0	1
Yellow-tailed Oriole	Icterus mesomelas	YTOr_Ime	Icteridae	I	U	edge	L	N	Y	Y	1	2
Bronzed Cowbird	Molothrus aeneus	BrCo_Mae	Icteridae	O	G	open	L	N	N	Y	0	1
Giant Cowbird	Molothrus oryzivorus	GiCo_Mor	Icteridae	P	C	open	L	N	Y	Y	0	1
Great-tailed Grackle	Quiscalus mexicanus	GTGr_Qme	Icteridae	O	G	open	L	N	Y	Y	1	1
Flame-throated Warbler	Oreothlypis gutturalis	FTWa_Ogu	Parulidae	I	C	edge	H	N	N	Y	0	1
Olive-crowned Yellowthroat	Geothlypis semißava	OCYe_Gse	Parulidae	I	U	open	L	N	N	Y	0	1
Tropical Parula	Setophaga pitiayumi	TrPa_Spi	Parulidae	I	C	edge	H	N	Y	Y	1	1
Yellow Warbler	Setophaga petechia	YeWa_Spe	Parulidae	I	U	edge	L	N	Y	Y	1	2
Buff-rumped Warbler	Myiothlypis fulvicauda	BRWa_Mfu	Parulidae	I	G	forest	L	N	Y	Y	1	2
Rufous-capped Warbler	Basileuterus ruÞfrons	RCWa_Bru	Parulidae	I	M	edge	L	N	N	Y	1	1
Black-cheeked Warbler	Basileuterus melanogenys	BCWa_Bme	Parulidae	I	U	forest	H	N	N	Y	0	1
Golden-crowned Warbler	Basileuterus culicivorus	GCWa_Bcu	Parulidae	I	U	forest	H	N	N	Y	1	1
Costa Rican Warbler	Basileuterus melanotis	CRWa_Bme	Parulidae	I	U	forest	H	N	N	(N) note- recent split of Three-striped		
Slate-throated Redstart	Myioborus miniatus	STRe_Mmi	Parulidae	I	C	forest	H	N	Y	Y	1	2
Collared Redstart	Myioborus torquatus	CoRe_Mto	Parulidae	I	C	forest	H	N	N	Y	0	1
Dusky-faced Tanager	Mitrospingus cassinii	DFTa_Mca	Mitrospingidae	O	U	edge	L	N	Y	Y	1	1
Flame-colored Tanager	Piranga bidentata	FCTa_Pbi	Cardinalidae	F	C	forest	H	N	N	Y	0	1
White-winged Tanager	Piranga leucoptera	WWTa_Ple	Cardinalidae	F	C	forest	H	N	N	Y	0	1
Red-crowned Ant-Tanager	Habia rubica	RCAT_Hru	Cardinalidae	I	U	forest	L	N	Y	Y	1	1
Red-throated Ant-Tanager	Habia fuscicauda	RTAT_Hfu	Cardinalidae	I	U	forest	L	N	Y	Y	1	1
Lemon-spectacled Tanager	Chlorothraupis olivacea	LETa_Col	Cardinalidae	I	U	forest	H	N	N	Y	0	1
Black-faced Grosbeak	Caryothraustes poliogaster	BFGr_Cpo	Cardinalidae	O	C	forest	L	N	N	Y	0	1
Blue-black Grosbeak	Cyanocompsa cyanoides	BBGr_Ccy	Cardinalidae	G	U	forest	L	N	Y	Y	1	2
Blue-and-gold Tanager	Bangsia arcaei	BAGT_Bar	Thraupidae	O	C	forest	H	N	N	Y	0	1
Blue-gray Tanager	Thraupis episcopus	BGTa_Tep	Thraupidae	O	C	edge	L	N	Y	Y	1	1
Palm Tanager	Thraupis palmarum	PaTa_Tpa	Thraupidae	O	C	edge	L	N	Y	Y	1	1
Golden-hooded Tanager	Tangara larvata	GHTa_Tla	Thraupidae	F	C	forest	L	N	Y	Y	1	1
Speckled Tanager	Tangara guttata	SpTa_Tgu	Thraupidae	F	C	forest	H	N	Y	Y	0	1
Green-naped Tanager	Tangara fucosa	GNTa_Tfu	Thraupidae	F	C	forest	H	N	N	Y	0	1
Spangle-cheeked Tanager	Tangara dowii	SCTa_Tdo	Thraupidae	F	M	forest	H	N	N	Y	0	1
Plain-colored Tanager	Tangara inornata	PCTa_Tin	Thraupidae	F	C	forest	L	N	Y	Y	1	1
Bay-headed Tanager	Tangara gyrola	BHTa_Tgy	Thraupidae	F	C	forest	L	N	Y	Y	1	1
Silver-throated Tanager	Tangara icterocephala	STTa_Tic	Thraupidae	F	C	forest	H	N	Y	Y	1	1
White-eared Conebill	Conirostrum leucogenys	WECo_Cle	Thraupidae	O	C	edge	L	N	N	Y	0	1
Green Honeycreeper	Chlorophanes spiza	GrHo_Csp	Thraupidae	F	C	forest	L	N	Y	Y	0	1
Black-and-yellow Tanager	Chrysothlypis chrysomelas	BAYT_Cch	Thraupidae	F	C	forest	H	N	Y	Y	1	1
Sulphur-rumped Tanager	Heterospingus rubrifrons	SRTa_Hru	Thraupidae	F	C	forest	L	N	Y	Y	0	1
Scarlet-browed Tanager	Heterospingus xanthopygius	SBTa_Hxa	Thraupidae	I	C	forest	L	N	N	Y	0	1
Blue-black Grassquit	Volatinia jacarina	BBGr_Vja	Thraupidae	G	U	open	L	N	Y	Y	1	1
Gray-headed Tanager	Eucometis penicillata	GHTa_Epe	Thraupidae	F	U	forest	L	N	Y	Y	1	1
White-shouldered Tanager	Tachyphonus luctuosus	WSTa_Tlu	Thraupidae	F	M	forest	L	N	Y	Y	0	1
Tawny-crested Tanager	Tachyphonus delatrii	TCTa_Tde	Thraupidae	O	U	edge	L	N	Y	Y	1	1
White-throated Shrike-Tanager	Lanio leucothorax	WTST_Lle	Thraupidae	I	M	forest	H	N	N	Y	0	1
Scarlet-rumped Tanager	Ramphocelus passerinii	SRTa_Rpa	Thraupidae	F	U	edge	L	N	N	Y	1	2
Crimson-backed Tanager	Ramphocelus dimidiatus	CBTa_Rdi	Thraupidae	F	U	edge	L	N	N	Y	1	1
Shining Honeycreeper	Cyanerpes lucidus	ShHo_Clu	Thraupidae	F	C	forest	L	N	Y	Y	0	1
Red-legged Honeycreeper	Cyanerpes cyaneus	RLHo_Ccy	Thraupidae	F	C	forest	L	N	Y	Y	1	1
Blue Dacnis	Dacnis cayana	BlDa_Dca	Thraupidae	P	C	edge	L	N	Y	Y	1	1
Bananaquit	Coereba ßaveola	Bana_Cfl	Thraupidae	N	C	edge	L	N	N	Y	1	1
Yellow-faced Grassquit	Tiaris olivaceus	YFGr_Tol	Thraupidae	G	U	open	L	N	Y	Y	1	1
Slate-colored Seedeater	Sporophila schistacea	SCSe_Ssc	Thraupidae	G	U	edge	L	N	Y	Y	0	1
Ruddy-breasted Seedeater	Sporophila minuta	RBSe_Smi	Thraupidae	G	U	open	L	N	Y	Y	0	1
Variable Seedeater	Sporophila americana	VaSe_Sam	Thraupidae	G	U	open	L	N	Y	Y	1	2
Buff-throated Saltator	Saltator maximus	BTSa_Sma	Thraupidae	F	M	edge	L	N	Y	Y	1	1
Slate-colored Grosbeak	Saltator grossus	SCGr_Sgr	Thraupidae	G	C	forest	L	N	Y	Y	0	1
Streaked Saltator	Saltator striatipectus	StSa_Sst	Thraupidae	O	U	edge	L	N	Y	Y	0	0
												
				G	38	0.097938144						
				U	150	0.386597938						
				M	47	0.121134021						
				C	146	0.37628866						
				A	6	0.015463918						
												
				forest	275	0.708762887						
				edge	74	0.190721649						
		207		open	38	0.097938144						
		0.533505155										
												
		141		N	42	0.108247423						
		0.363402062		I	181	0.466494845						
				V	13	0.033505155						
				G	20	0.051546392						
				P	15	0.038659794						
				F	64	0.164948454						
				O	36	0.092783505						
				IV	13	0.033505155						
